,galaxy,redshift,redshift_err,log_HI,log_HI_err,log_NI,log_NI_err,log_OI,log_OI_err,log_CII,log_CII_err,log_SiII,log_SiII_err,log_AlII,log_AlII_err,log_FeII,log_FeII_err,log_CIII,log_CIII_err,log_CIV,log_CIV_err,log_NII,log_NII_err,log_SiIII,log_SiIII_err,log_SiIV,log_SiIV_err,study,log_SII,log_SII_err,solar_scale,notes,HI_lines,CII_lines,OI_lines,SiII_lines,FeII_lines,c_o,c_o_err,o_h,o_h_err,log_c,log_c_err,log_MgII,log_MgII_err,log_FeIII,log_FeIII_err,c_h,c_h_err,C_IC1,C_IC2,O_IC1,O_IC2,Si_IC1,Si_IC2,Fe_IC1,Fe_IC2,log_c_o,log_c_o_err,C_O,C_O_err,O_H,O_H_err
0,HS 0105+1619,2.535998,7e-06,19.422,0.009,12.306,0.06,14.378,0.024,14.349,0.069,13.156,0.012,11.87,0.04,12.913,0.087,13.716,0.032,13.277,0.019,13.501,0.013,13.097,0.037,12.647,0.053,omera+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1813702101807438,0.07305477397131553,-1.857176905243696,0.025632011235952594
1,J1358+6522,3.067259,,20.48,0.06,12.86,0.06,14.85,0.02,14.32,0.06,13.44,0.02,11.93,0.03,13.09,0.02,,,,,,,11.87,0.04,,,cooke+14,13.0,0.08,asplund09,"C measurements not reported in this paper ? but in Cooke+17.
Does include actual measurements for one system, but these are also followed up.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3196297898192556,0.06324555320336758,-2.4431769052436945,0.06324555320336758
2,J0955+4116,3.279908,,20.21,0.05,,,14.45,0.04,13.73,0.14,12.89,0.06,,,12.73,0.09,,,,,,,,,,,welsh+2022,,,,,[1215],"[1036, 1334]","[988.6, 988.7, 88.8, 1302.0, 1670.0]","[1260, 1304, 1526]","[1144, 1260, 1608]",,,,,,,,,,,,,,,,,,,,,,,-0.5096297898192551,0.14560219778561037,-2.573176905243697,0.06403124237432849
3,J0140-0839,3.696,,20.75,0.15,,,14.69,0.01,14.13,0.08,13.51,0.09,11.82,0.04,,,,,,,,,,,,,ellison+10,,,,,,,,,,-0.29,0.08,-2.72,0.15,,,,,,,,,,,,,,,,,,,-0.34962978981925497,0.0806225774829855,-2.8731769052436995,0.15033296378372907
4,J0035-0918,2.340064,,20.43,0.04,13.37,0.04,14.67,0.05,14.29,0.13,,,,,13.01,0.03,,,,,,,,,,,welsh+20,,,,,,,,,,,,-2.45,0.06,-0.12,0.15,12.89,0.13,,,,,,,,,,,,,,,-0.16962978981925705,0.1392838827718412,-2.5731769052436935,0.06403124237432849
5,Q1243+307,2.52564,,19.761,0.026,,,13.681,0.011,13.663,0.024,12.9,0.011,0.033,0.033,12.507,0.085,,,,,,,,,,,cooke+18,12.59,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19237021018074482,0.02640075756488817,-2.893176905243699,0.028231188426986208
6,PKS1937-101,3.5724,,17.925,0.006,,,12.06,0.127,13.357,0.029,13.345,0.006,,,,,,,,,,,,,13.08,0.005,riemer-sorensen+17,,,,,,,,,,,,,,,,,,13.419,0.029,,,,,,,,,,,,,1.5073702101807425,0.13026895255585655,-2.678176905243694,0.12714165328483032
7,Q1101-264,1.838,,19.5,0.05,,,14.55,0.05,15.06,0.07,,,,,13.51,0.02,,,,,,,,,,,dessauges-zavadsky+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7203702101807435,0.08602325267042628,-1.7631769052436947,0.07071067811865477
8,Q2059-360,2.507,,20.21,0.1,,,15.54,0.21,14.87,0.19,,,,,13.47,0.03,,,,,,,,,,,dessauges-zavadsky+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4596297898192562,0.2831960451701259,-1.4831769052436972,0.23259406699226012
9,J2155+1358,4.212,,19.61,0.1,,,14.5,0.05,13.95,0.06,,,,,12.93,0.23,,,,,,,,,,,dessauges-zavadsky+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33962978981925696,0.07810249675906655,-1.923176905243695,0.1118033988749895
10,J0903+2628,3.07759,,20.32,0.05,,,13.96,0.02,13.32,0.03,12.62,0.01,,,,,,,,,,,,,,,cooke+17,,,,,,,,,,-0.38,0.03,-3.05,0.05,,,,,,,,,,,,,,,,,,,-0.4296297898192568,0.03605551275463989,-3.1731769052436967,0.05385164807134505
11,J0311-1722,3.734,,20.3,0.06,,,14.7,0.08,14.02,0.08,13.31,0.07,,,,,,,,,,,,,,,cooke+11,,,,,,,,,,,,-2.29,0.1,,,,,,,-2.71,0.1,,,,,,,,,,,-0.46962978981925596,0.1131370849898476,-2.413176905243697,0.1
12,J1001+0343,3.078,,20.21,0.05,,,14.25,0.02,13.58,0.02,12.86,0.01,,,12.5,0.14,,,,,,,,,,,cooke+11,,,,,,,,,,,,-2.65,0.05,,,,,,,-3.06,0.05,,,,,,,,,,,-0.4596297898192562,0.0282842712474619,-2.7731769052436963,0.05385164807134505
14,J0953-0504,4.20287,,20.55,0.1,,,14.69,0.02,13.93,0.02,,,,,13.07,0.19,,,,,,,,,,,dutta+14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.549629789819256,0.0282842712474619,-2.6731769052436984,0.10198039027185571
15,Q1202+3235,4.977,,19.83,0.1,,,14.54,0.07,14.48,0.05,13.21,0.03,,,12.86,0.12,,,13.91,0.04,,,,,13.4,0.02,morrison+16,,,,,,,,,,,,,,,,,,,,,,-0.37,-0.47,0.0,-0.01,-0.4,-0.37,-0.04,-0.1,,,0.150370210180745,0.08602325267042628,-2.1031769052436946,0.12206555615733704
16,J1337+3152,3.167,,20.41,0.15,,,14.43,0.09,13.98,0.06,13.24,0.05,12.0,0.05,13.14,0.26,,,,,,,13.28,0.06,,,srianand+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23962978981925556,0.10816653826391967,-2.793176905243696,0.17492855684535902
17,Q0913+072,2.618,,20.34,0.04,12.29,0.12,14.63,0.01,13.98,0.05,13.3,0.01,11.78,0.03,12.99,0.01,,,,,,,,,,,pettini+08,,,,,,,,,,-0.36,,-2.37,0.04,,,,,,,,,,,,,,,,,-0.65,0.05,-0.4396297898192566,0.050990195135927854,-2.5231769052436928,0.04123105625617661
18,J1016+4040,2.816,,19.9,0.11,,,14.13,0.03,13.66,0.04,12.9,0.05,,,,,,,,,,,,,,,pettini+08,,,,,,,,,,-0.21,,-2.43,0.11,,,,,,,,,,,,,,,,,-0.47,0.05,-0.2596297898192569,0.05,-2.5831769052436915,0.11401754250991379
19,J1558+4053,2.553,,20.3,0.04,12.66,0.07,14.54,0.04,14.22,0.06,13.32,0.02,11.92,0.06,13.07,0.06,,,,,,,,,,,pettini+08,,,,,,,,,,-0.06,,-2.42,0.06,,,,,,,,,,,,,,,,,-0.32,0.07,-0.10962978981925478,0.07211102550927978,-2.573176905243697,0.0565685424949238
20,Q2206-199,2.076,,20.43,0.04,12.79,0.05,15.05,0.03,14.41,0.03,13.65,0.01,12.18,0.01,13.33,0.01,,,,,,,,,,,pettini+08,,,,,,,,,,-0.38,,-2.04,0.05,,,,,,,,,,,,,,,,,-0.64,0.04,-0.4296297898192568,0.042426406871192854,-2.1931769052436945,0.05
21,J1332+0052,3.4210863,,19.304,0.004,,,14.29,0.02,14.003,0.01,13.157,0.09,11.949,0.017,12.664,0.05,,,,,,,,,,,kislitsyn+24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0766297898192553,0.022360679774997897,-1.8271769052436948,0.02039607805437114
23,J1111+1332,2.27,,20.39,0.04,13.53,0.02,15.16,0.07,14.72,0.09,,,,,13.59,0.01,,,,,,,,,,,cooke+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22962978981925578,0.1140175425099138,-2.043176905243696,0.0806225774829855
