,galaxy,class,region,eps_C,eps_C_err,eps_N,eps_N_err,eps_O,eps_O_err,eps_Fe,eps_Fe_err,study,C_O,C_O_err,O_H,O_H_err,eps_c,eps_c_err,eps_o,eps_o_err,eps_o_cel,eps_o_cel_err,R_g,R_g_err,C_H,[c/n],[n/o],[c/n]_err,[n/o]_err,log_c_o,log_c_o_err,log_c_o_cel,log_c_o_cel_err,C_O_2,C_O_2_err,c_err,eps_n,n_err,o_err,eps_fe,fe_err,C_H_err
5,NGC 6822,dwarf,region V,8.01,0.12,6.85,0.15,8.37,0.09,,,peimbert+05,-0.1496297898192557,0.21,-0.44378901877970556,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
0,MW,MW,Sh 2-311,,,,,,,,,mendez-delgado+22,-0.0996297898192573,0.13,-0.2437890187797045,0.04,8.26,0.09,8.57,0.04,8.58,0.05,11.6,0.44,-0.3434188085989618,,,,,,,,,,,,,,,,,
1,MW,MW,NGC 2579,,,,,,,,,mendez-delgado+22,-0.149629789819258,0.09,-0.2537890187797043,0.03,8.2,0.06,8.56,0.03,8.61,0.06,10.82,0.44,-0.4034188085989623,,,,,,,,,,,,,,,,,
2,MW,MW,NGC 3576,,,,,,,,,mendez-delgado+22,-0.029629789819257013,0.1,-0.07378901877970456,0.06,8.5,0.04,8.74,0.06,8.79,0.04,7.66,0.1,-0.10341880859896158,,,,,,,,,,,,,,,,,
3,MW,MW,NGC 3603,,,,,,,,,mendez-delgado+22,0.030370210180741708,0.12000000000000001,-0.09378901877970414,0.05,8.54,0.07,8.72,0.05,8.7,0.05,8.61,0.11,-0.06341880859896243,,,,,,,,,,,,,,,,,
4,MW,MW,M8,,,,,,,,,mendez-delgado+22,0.030370210180741708,0.1,-0.10378901877970392,0.04,8.53,0.06,8.71,0.04,8.69,0.05,6.99,0.14,-0.07341880859896222,,,,,,,,,,,,,,,,,
5,MW,MW,M16,,,,,,,,,mendez-delgado+22,0.030370210180741708,0.16,-0.013789018779704065,0.06,8.62,0.1,8.8,0.06,8.79,0.06,6.58,0.27,0.016581191401037643,,,,,,,,,,,,,,,,,
6,MW,MW,M17,,,,,,,,,mendez-delgado+22,0.2503702101807441,0.08,-0.05378901877970499,0.04,8.8,0.04,8.76,0.04,8.83,0.05,6.46,0.25,0.19658119140103913,,,,,,,,,,,,,,,,,
7,MW,MW,M20,,,,,,,,,mendez-delgado+22,0.02037021018074192,0.26,-0.10378901877970392,0.07,8.52,0.19,8.71,0.07,8.76,0.05,6.79,0.18,-0.083418808598962,,,,,,,,,,,,,,,,,
8,MW,MW,M42,,,,,,,,,mendez-delgado+22,0.030370210180743484,0.08,-0.16378901877970442,0.03,8.47,0.05,8.65,0.03,8.78,0.05,8.54,0.11,-0.13341880859896094,,,,,,,,,,,,,,,,,
0,M101,spiral,H1013,,,,,,,,,skillman+20,0.17037021018074375,0.07,-0.2437890187797045,0.02,,,,,,,,,,0.34006748695803607,-0.16969727677729232,0.06857142857142857,0.15000000000000002,,,,,,,,,,,,,
1,M101,spiral,H1052,,,,,,,,,skillman+20,0.1303702101807437,0.04,-0.2437890187797045,0.01,,,,,,,,,,0.3500674869580361,-0.21969727677729237,0.042857142857142864,0.09,,,,,,,,,,,,,
2,M101,spiral,NGC 5461,,,,,,,,,skillman+20,-0.09962978981925627,0.12,-0.33378901877970435,0.02,,,,,,,,,,0.11006748695803599,-0.20969727677729227,0.11142857142857143,0.25,,,,,,,,,,,,,
3,M101,spiral,NGC 5462,,,,,,,,,skillman+20,-0.17962978981925629,0.19,-0.3637890187797055,0.05,,,,,,,,,,0.23006748695803608,-0.4096972767772924,0.18,0.4,,,,,,,,,,,,,
4,M101,spiral,NGC 5462,,,,,,,,,skillman+20,-0.0696297898192563,0.12,-0.38378901877970506,0.01,,,,,,,,,,0.32006748695803605,-0.3896972767772924,0.11142857142857143,0.25,,,,,,,,,,,,,
5,M101,spiral,NGC 5455,,,,,,,,,skillman+20,-0.1296297898192563,0.11,-0.4237890187797042,0.02,,,,,,,,,,0.23006748695803608,-0.35969727677729235,0.11142857142857143,0.24,,,,,,,,,,,,,
6,M101,spiral,NGC 5447,,,,,,,,,skillman+20,-0.08962978981925626,0.09,-0.39378901877970485,0.01,,,,,,,,,,0.250067486958036,-0.3396972767772922,0.08571428571428573,0.19,,,,,,,,,,,,,
7,M101,spiral,NGC 5447,,,,,,,,,skillman+20,-0.03962978981925627,0.17,-0.46378901877970513,0.01,,,,,,,,,,0.30006748695803603,-0.33969727677729233,0.1542857142857143,0.35,,,,,,,,,,,,,
8,M101,spiral,H1216,,,,,,,,,skillman+20,-0.41962978981925625,0.5,-0.553789018779705,0.03,,,,,,,,,,0.120067486958036,-0.5396972767772923,0.42857142857142855,1.0,,,,,,,,,,,,,
9,M101,spiral,NGC 5471,,,,,,,,,skillman+20,-0.2596297898192562,0.46,-0.6737890187797042,0.03,,,,,,,,,,0.32006748695803605,-0.5796972767772923,0.42857142857142855,0.96,,,,,,,,,,,,,
0,NGC 300,spiral,R20,,,,,,,,,toribo-san-cipriano+16,-0.009629789819256274,0.22,-0.12378901877970527,0.11,,,8.69,0.11,,,,,,,,,,-0.22,0.22,,,,,,,,,,,
1,NGC 300,spiral,R23,,,,,,,,,toribo-san-cipriano+16,-0.21962978981925627,0.23,-0.11378901877970549,0.13,,,8.7,0.13,,,,,,,,,,-0.43,0.23,,,,,,,,,,,
2,NGC 300,spiral,R14,,,,,,,,,toribo-san-cipriano+16,-0.14962978981925626,0.21,-0.19378901877970556,0.11,,,8.62,0.11,,,,,,,,,,-0.36,0.21,,,,,,,,,,,
3,NGC 300,spiral,R2,,,,,,,,,toribo-san-cipriano+16,-0.30962978981925626,0.22,-0.2437890187797045,0.12,,,8.57,0.12,,,,,,,,,,-0.52,0.22,,,,,,,,,,,
4,M33,spiral,NGC 588,,,,,,,,,toribo-san-cipriano+16,-0.2596297898192562,0.19,-0.32378901877970456,0.09,,,8.49,0.09,,,,,,,,,,-0.47,0.19,,,,,,,,,,,
5,M33,spiral,IC 132,,,,,,,,,toribo-san-cipriano+16,-0.11962978981925629,0.15,-0.34378901877970414,0.12,,,8.47,0.12,,,,,,,,,,-0.33,0.15,,,,,,,,,,,
0,LMC,magellanic,30 Dor,,,,,,,,,toribo-san-cipriano+17,-0.28962978981925624,0.06,-0.2837890187797054,0.04,,,8.53,0.04,8.39,0.01,,,,,,,,-0.5,0.06,-0.58,0.04,-0.3696297898192562,0.06,,,,,,,
1,LMC,magellanic,N44C,,,,,,,,,toribo-san-cipriano+17,-0.21962978981925627,0.03,-0.2337890187797047,0.02,,,8.58,0.02,8.31,0.03,,,,,,,,-0.43,0.03,,,,0.03,,,,,,,
2,LMC,magellanic,IC 2111,,,,,,,,,toribo-san-cipriano+17,-0.20962978981925626,0.08,-0.20378901877970534,0.07,,,8.61,0.07,8.43,0.04,,,,,,,,-0.42,0.08,-0.43,0.04,-0.21962978981925627,0.08,,,,,,,
3,LMC,magellanic,NGC 1714,,,,,,,,,toribo-san-cipriano+17,-0.23962978981925628,0.07,-0.2537890187797043,0.07,,,8.56,0.07,8.37,0.04,,,,,,,,-0.45,0.07,-0.47,0.04,-0.2596297898192562,0.07,,,,,,,
4,LMC,magellanic,N11B,,,,,,,,,toribo-san-cipriano+17,-0.2696297898192562,0.04,-0.22378901877970492,0.02,,,8.59,0.02,8.39,0.03,,,,,,,,-0.48,0.04,,,,0.04,,,,,,,
5,SMC,magellanic,N66A,,,,,,,,,toribo-san-cipriano+17,-0.4596297898192563,0.06,-0.46378901877970513,0.03,,,8.35,0.03,8.0,0.02,,,,,,,,-0.67,0.06,-0.86,0.02,-0.6496297898192562,0.06,,,,,,,
6,SMC,magellanic,N81,,,,,,,,,toribo-san-cipriano+17,-0.4596297898192563,0.04,-0.4737890187797049,0.02,,,8.34,0.02,8.01,0.02,,,,,,,,-0.67,0.04,-0.91,0.02,-0.6996297898192563,0.04,,,,,,,
7,SMC,magellanic,NGC 456,,,,,,,,,toribo-san-cipriano+17,-0.40962978981925624,0.19,-0.45378901877970534,0.09,,,8.36,0.09,8.06,0.05,,,,,,,,-0.62,0.19,,,,0.19,,,,,,,
8,SMC,magellanic,N88A,,,,,,,,,toribo-san-cipriano+17,-0.3296297898192563,0.03,-0.5937890187797041,0.02,,,8.22,0.02,7.94,0.03,,,,,,,,-0.54,0.03,-0.72,0.17,-0.5096297898192562,0.03,,,,,,,
0,NGC 6822,dwarf,centre,,,,,,,,,esteban+14,-0.3096297898192564,0.15000000000000002,-0.46378901877970513,0.05,7.83,,8.35,,,,,,-0.7734188085989615,,,,,,,,,,,0.1,6.94,0.09,0.05,6.05,0.17,0.1
1,NGC 5408,dwarf,centre,,,,,,,,,esteban+14,-0.4096297898192578,0.19,-0.6037890187797039,0.04,7.59,,8.21,,,,,,-1.0134188085989617,,,,,,,,,,,0.15,6.72,0.08,0.04,6.03,0.1,0.15
0,M31,spiral,K932,,,,,,,,,esteban+09,0.050370210180744834,0.16,-0.19378901877970556,0.03,8.46,,8.62,,,,,,-0.14341880859896072,,,,,,,,,,,0.13,7.63,0.06,0.03,5.9,0.09,0.13
1,M33,spiral,NGC 595,,,,,,,,,esteban+09,0.05037021018074306,0.16999999999999998,-0.12378901877970527,0.05,8.53,,8.69,,,,,,-0.07341880859896222,,,,,,,,,,,0.12,7.53,0.1,0.05,5.55,0.21,0.12
2,M33,spiral,NGC 604,,,,,,,,,esteban+09,0.01037021018074391,0.14,-0.21378901877970513,0.03,8.4,,8.6,,,,,,-0.20341880859896122,,,,,,,,,,,0.11,7.49,0.07,0.03,5.94,0.11,0.11
3,NGC 2366,magellanic,NGC-2363,,,,,,,,,esteban+09,-0.07962978981925595,0.14,-0.7737890187797056,0.05,7.75,,8.04,,,,,,-0.8534188085989616,,,,,,,,,,,0.09,6.7,0.1,0.05,5.71,0.23,0.09
4,NGC 2403,spiral,VS 24,,,,,,,,,esteban+09,0.30037021018074483,0.27999999999999997,-0.44378901877970556,0.04,8.46,,8.37,,,,,,-0.14341880859896072,,,,,,,,,,,0.24,7.35,0.07,0.04,5.71,0.19,0.24
5,NGC 2403,spiral,VS 38,,,,,,,,,esteban+09,0.42037021018074405,0.2,-0.5237890187797056,0.05,8.5,,8.29,,,,,,-0.10341880859896158,,,,,,,,,,,0.15,7.23,0.11,0.05,5.58,0.35,0.15
6,NGC 2403,spiral,VS 44,,,,,,,,,esteban+09,-0.07962978981925595,0.22,-0.20378901877970534,0.04,8.32,,8.61,,,,,,-0.2834188085989613,,,,,,,,,,,0.18,7.52,0.08,0.04,6.13,0.12,0.18
