,Star,Pop,Nplanet,Maxmass,Teff,logg,vmic,[Fe/H]3L,e_[Fe/H]3L,[Fe/H]1L,e_[Fe/H]1L,[C/H]3N,e_[C/H]3N,[C/H]1N,e_[C/H]1N,[C/H]3L,e_[C/H]3L,[C/H]1L,e_[C/H]1L,[O/H]3N,e_[O/H]3N,[O/H]1N,e_[O/H]1N,[O/H]3L,e_[O/H]3L,[O/H]1L,e_[O/H]1L,SimbadName,_RA,_DE,FE_H,FE_H_err,O_H,O_H_err,C_H,C_H_err,C_O,C_O_err,O_FE,O_FE_err
64,hd103723  ,low-alpha,0,0.0,6050,4.2,1.11,-0.8228,0.0087,-0.823,0.0099,-0.8806,0.0118,-0.8667,0.0082,-0.8651,0.0129,-0.855,0.009,-0.5632,0.0124,-0.5611,0.0136,-0.5219,0.0089,-0.5367,0.0116,HD103723         ,179.1501,-21.4194,-0.8228,0.0087,-0.5632,0.0124,-0.8806,0.0118,-0.3174,0.0242,0.25959999999999994,0.0211
65,g98-53  ,low-alpha,0,0.0,5954,4.26,1.2,-0.8681,0.0178,-0.878,0.0182,-0.8581,0.0132,-0.8411,0.0097,-0.8451,0.0143,-0.8315,0.0105,,,,,,,,,G98-53           ,93.45762,33.41726,-0.8681,0.0178,,,-0.8581,0.0132,,,,
66,g112-43  ,low-alpha,0,0.0,6209,4.02,1.17,-1.2791,0.0169,-1.287,0.0158,-1.2614,0.0017,-1.2517,0.006,-1.2259,0.0003,-1.2265,0.0045,-0.8933,0.0082,-0.9072,0.0086,-0.8694,0.0084,-0.8817,0.0079,G112-43          ,115.93319,-0.06694,-1.2791,0.0169,-0.8933,0.0082,-1.2614,0.0017,-0.3681000000000001,0.0099,0.3857999999999999,0.025099999999999997
67,g112-44  ,low-alpha,0,0.0,5936,4.28,1.1,-1.2949,0.0196,-1.3145,0.0235,-1.245,0.0794,-1.2251,0.0731,-1.2207,0.0813,-1.2075,0.0745,,,,,,,,,G112-44          ,115.93369,-0.0637,-1.2949,0.0196,,,-1.245,0.0794,,,,
68,g114-42  ,low-alpha,0,0.0,5721,4.4,1.19,-1.1012,0.0176,-1.1257,0.0176,-1.1337,0.0583,-1.1122,0.0532,-1.1236,0.0595,-1.104,0.054,,,,,,,,,G114-42          ,137.68704,-3.80267,-1.1012,0.0176,,,-1.1337,0.0583,,,,
69,hd136352  ,thick,3,0.034,5728,4.36,1.05,-0.3839,0.0051,-0.3867,0.0053,-0.1869,0.0057,-0.1807,0.0053,-0.1847,0.0058,-0.1795,0.0055,-0.0632,0.0062,-0.0695,0.0058,-0.0735,0.0065,-0.081,0.0061,HD136352         ,230.45063,-48.31763,-0.3839,0.0051,-0.0632,0.0062,-0.1869,0.0057,-0.1237,0.0119,0.3207,0.011300000000000001
70,hd22879  ,thick,0,0.0,5859,4.29,1.2,-0.8518,0.0098,-0.8636,0.0099,-0.6594,0.0105,-0.6439,0.0079,-0.6491,0.0112,-0.6365,0.0085,-0.2731,0.01,-0.2862,0.0122,-0.2605,0.0091,-0.29,0.0125,HD22879          ,55.09194,-3.21698,-0.8518,0.0098,-0.2731,0.01,-0.6594,0.0105,-0.3863,0.0205,0.5787,0.019799999999999998
71,hd106516  ,thick,0,0.0,6327,4.43,1.18,-0.7061,0.0166,-0.7049,0.0165,-0.5189,0.0146,-0.5201,0.0164,-0.5028,0.0144,-0.508,0.016,-0.1809,0.0074,-0.2341,0.0031,-0.0593,0.0159,-0.108,0.0142,HD106516         ,183.79399,-10.3124,-0.7061,0.0166,-0.1809,0.0074,-0.5189,0.0146,-0.338,0.022,0.5251999999999999,0.024
72,hd17820  ,thick,0,0.0,5873,4.28,1.27,-0.6569,0.0045,-0.6719,0.0058,-0.4831,0.0079,-0.4703,0.0089,-0.4745,0.0076,-0.4645,0.0085,-0.178,0.0135,-0.1968,0.0106,-0.1463,0.0172,-0.1803,0.0134,HD17820          ,42.99315,11.36998,-0.6569,0.0045,-0.178,0.0135,-0.4831,0.0079,-0.3051,0.021400000000000002,0.47890000000000005,0.018
73,hd168443  ,thick,2,17.193,5522,4.06,1.02,0.0592,0.0077,0.067,0.0075,0.1529,0.0093,0.1632,0.0095,0.1556,0.01,0.165,0.01,0.1939,0.0117,0.2145,0.0118,0.2217,0.0135,0.2357,0.0132,HD168443         ,275.01639,-9.59572,0.0592,0.0077,0.1939,0.0117,0.1529,0.0093,-0.04099999999999998,0.020999999999999998,0.1347,0.0194
74,hd120559  ,thick,0,0.0,5486,4.58,1.05,-0.8972,0.0083,-0.9064,0.0093,-0.6132,0.02,-0.6078,0.0173,-0.6129,0.021,-0.607,0.018,-0.2681,0.0321,-0.2849,0.0321,-0.384,0.0398,-0.3843,0.039,HD120559         ,207.91829,-57.43564,-0.8972,0.0083,-0.2681,0.0321,-0.6132,0.02,-0.34509999999999996,0.052099999999999994,0.6291,0.0404
75,hd210277  ,thick,1,1.29,5479,4.34,0.84,0.23,0.0068,0.2393,0.0063,0.2849,0.0112,0.2836,0.0109,0.284,0.0113,0.283,0.011,0.2841,0.0109,0.2858,0.0109,0.2411,0.0103,0.2593,0.0105,HD210277         ,332.37444,-7.54866,0.23,0.0068,0.2841,0.0109,0.2849,0.0112,0.0007999999999999674,0.0221,0.05410000000000001,0.0177
76,hd40397  ,thick,0,0.0,5474,4.38,0.96,-0.111,0.0101,-0.1146,0.0097,0.0542,0.007,0.0494,0.0062,0.0523,0.0067,0.048,0.006,0.1544,0.0305,0.1519,0.0311,0.1011,0.0294,0.111,0.0304,HD40397          ,89.58973,-4.65067,-0.111,0.0101,0.1544,0.0305,0.0542,0.007,-0.10020000000000001,0.0375,0.2654,0.0406
77,hd97320  ,thick,0,0.0,6136,4.2,1.46,-1.1646,0.0218,-1.1854,0.0215,-0.9852,0.0023,-0.9766,0.0011,-0.9606,0.0038,-0.958,0.1011,-0.6507,0.0138,-0.673,0.0169,-0.6131,0.0131,-0.654,0.0171,HD97320          ,167.75306,-65.42715,-1.1646,0.0218,-0.6507,0.0138,-0.9852,0.0023,-0.3345,0.0161,0.5139000000000001,0.0356
78,hd205650  ,thick,0,0.0,5793,4.35,1.17,-1.1719,0.0257,-1.1953,0.0246,-0.9712,0.023,-0.952,0.0186,-0.9577,0.0243,-0.9415,0.0195,-0.535,0.0114,-0.5399,0.0116,-0.5881,0.0148,-0.5967,0.015,HD205650         ,324.35846,-27.63519,-1.1719,0.0257,-0.535,0.0114,-0.9712,0.023,-0.4361999999999999,0.0344,0.6368999999999999,0.0371
79,hd199289  ,thick,0,0.0,5915,4.3,1.21,-1.0441,0.0282,-1.0628,0.0275,-0.9016,0.0052,-0.8835,0.0016,-0.8887,0.0065,-0.8735,0.0025,-0.4713,0.0097,-0.4823,0.012,-0.4772,0.0097,-0.5023,0.0134,HD199289         ,314.53552,-48.20374,-1.0441,0.0282,-0.4713,0.0097,-0.9016,0.0052,-0.43029999999999996,0.0149,0.5728,0.0379
80,hd65907  ,thick,0,0.0,5998,4.41,1.08,-0.3325,0.006,-0.3316,0.0062,-0.1598,0.0171,-0.1552,0.0169,-0.1548,0.0173,-0.152,0.017,-0.0278,0.0088,-0.0444,0.0082,0.0321,0.012,0.007,0.011,HD65907          ,119.44548,-60.30307,-0.3325,0.006,-0.0278,0.0088,-0.1598,0.0171,-0.132,0.0259,0.3047,0.0148
81,hd189558  ,thick,0,0.0,5707,3.83,1.29,-1.1266,0.0118,-1.1433,0.0118,-1.0877,0.0034,-1.06,0.007,-1.0699,0.0018,-1.048,0.006,-0.5259,0.0092,-0.5109,0.0079,-0.4968,0.0165,-0.5133,0.0108,HD189558         ,300.25102,-12.25565,-1.1266,0.0118,-0.5259,0.0092,-1.0877,0.0034,-0.5617999999999999,0.0126,0.6007,0.020999999999999998
82,hd216770  ,thick,1,0.57,5424,4.53,0.79,0.3666,0.0107,0.3686,0.0108,0.3013,0.0146,0.2972,0.0142,0.2981,0.0143,0.295,0.014,0.2531,0.0165,0.2465,0.0159,0.1609,0.023,0.186,0.0206,HD216770         ,343.97378,-26.65876,0.3666,0.0107,0.2531,0.0165,0.3013,0.0146,0.04820000000000002,0.031100000000000003,-0.11349999999999999,0.027200000000000002
83,hd76932  ,thick,0,0.0,5977,4.17,1.3,-0.871,0.0098,-0.883,0.0101,-0.7479,0.0121,-0.7354,0.0094,-0.7336,0.0129,-0.725,0.01,-0.383,0.009,-0.3962,0.0118,-0.3239,0.0042,-0.3643,0.009,HD76932          ,134.68305,-16.13272,-0.871,0.0098,-0.383,0.009,-0.7479,0.0121,-0.3649,0.0211,0.488,0.018799999999999997
84,hd175179  ,thick,0,0.0,5804,4.4,1.08,-0.6523,0.0057,-0.6599,0.0054,-0.4341,0.0061,-0.4224,0.0046,-0.429,0.0065,-0.419,0.005,-0.0636,0.043,-0.0812,0.0398,-0.0665,0.0469,-0.0883,0.0436,HD175179         ,283.59668,-4.60517,-0.6523,0.0057,-0.0636,0.043,-0.4341,0.0061,-0.3705,0.0491,0.5887,0.04869999999999999
85,bd-213420  ,thick,0,0.0,5909,4.3,1.12,-1.13,0.0155,-1.1483,0.0159,-0.9358,0.0243,-0.918,0.0202,-0.92,0.0256,-0.906,0.021,-0.4731,0.0304,-0.4803,0.0318,-0.4815,0.0341,-0.501,0.0359,BD-213420        ,178.86858,-22.38703,-1.13,0.0155,-0.4731,0.0304,-0.9358,0.0243,-0.46269999999999994,0.0547,0.6568999999999998,0.045899999999999996
86,cd-333337  ,thick,0,0.0,6112,3.86,1.56,-1.3661,0.0186,-1.3838,0.0182,-1.2321,0.0065,-1.2212,0.0025,-1.1933,0.0083,-1.194,0.004,-0.8248,0.0053,-0.8397,0.0082,-0.7803,0.0023,-0.813,0.006,CD-333337        ,103.69921,-33.74695,-1.3661,0.0186,-0.8248,0.0053,-1.2321,0.0065,-0.4073,0.0118,0.5413000000000001,0.023899999999999998
87,hd111232  ,thick,1,7.14,5543,4.43,0.9,-0.4818,0.007,-0.479,0.0065,-0.2049,0.0034,-0.2034,0.0034,-0.2054,0.0029,-0.204,0.003,-0.0093,0.0162,-0.0172,0.0159,-0.0741,0.013,-0.072,0.0129,HD111232         ,192.21564,-68.42515,-0.4818,0.007,-0.0093,0.0162,-0.2049,0.0034,-0.1956,0.0196,0.47250000000000003,0.0232
88,hd126681  ,thick,0,0.0,5594,4.5,1.08,-1.1741,0.011,-1.1997,0.0111,-1.0024,0.0758,-0.9876,0.0709,-0.9959,0.0769,-0.9815,0.0715,-0.5039,0.0092,-0.5118,0.0099,-0.6115,0.0145,-0.6073,0.0156,HD126681         ,216.85379,-18.41124,-1.1741,0.011,-0.5039,0.0092,-1.0024,0.0758,-0.49849999999999994,0.085,0.6701999999999999,0.0202
89,hd4308  ,thick,1,0.05,5705,4.36,1.0,-0.3527,0.0042,-0.3502,0.0042,-0.1985,0.0044,-0.1914,0.0047,-0.1968,0.0042,-0.1905,0.0045,-0.021,0.0199,-0.0244,0.0192,-0.0321,0.0215,-0.0357,0.0202,HD4308           ,11.16361,-65.64952,-0.3527,0.0042,-0.021,0.0199,-0.1985,0.0044,-0.17750000000000002,0.024300000000000002,0.3317,0.0241
90,hd25704  ,thick,0,0.0,5974,4.3,1.33,-0.8454,0.0154,-0.862,0.0161,-0.6933,0.0114,-0.6808,0.0089,-0.6806,0.0122,-0.6715,0.0095,-0.4242,0.0145,-0.4402,0.0115,-0.403,0.0198,-0.4387,0.0151,HD25704          ,60.43597,-57.20683,-0.8454,0.0154,-0.4242,0.0145,-0.6933,0.0114,-0.2691,0.0259,0.4212,0.029900000000000003
91,hd114762  ,thick,1,10.69,5956,4.24,1.37,-0.6986,0.0127,-0.7171,0.0127,-0.5515,0.0018,-0.5414,0.0007,-0.5395,0.002,-0.533,0.001,-0.2841,0.0043,-0.3043,0.0071,-0.2325,0.0038,-0.2757,0.0042,HD114762         ,198.08228,17.51711,-0.6986,0.0127,-0.2841,0.0043,-0.5515,0.0018,-0.26739999999999997,0.0060999999999999995,0.4145,0.017
92,hd77110  ,thick,0,0.0,5738,4.39,0.87,-0.521,0.008,-0.5147,0.0082,-0.4118,0.008,-0.3989,0.0095,-0.4086,0.0075,-0.397,0.009,-0.1383,0.0082,-0.1415,0.0077,-0.1619,0.0084,-0.1647,0.0081,HD77110          ,134.82443,-35.31031,-0.521,0.008,-0.1383,0.0082,-0.4118,0.008,-0.27349999999999997,0.0162,0.38270000000000004,0.0162
93,hd241253  ,thick,0,0.0,5940,4.34,1.17,-1.1096,0.015,-1.1289,0.0149,-0.9535,0.0039,-0.9357,0.0,-0.9383,0.0053,-0.924,0.001,-0.4888,0.0183,-0.5001,0.0198,-0.5004,0.022,-0.5227,0.0232,HD241253         ,77.48733,5.55743,-1.1096,0.015,-0.4888,0.0183,-0.9535,0.0039,-0.4647,0.0222,0.6207999999999999,0.033299999999999996
94,hd196761  ,thin,0,0.0,5486,4.56,0.75,-0.2672,0.0057,-0.2586,0.0053,-0.2116,0.0121,-0.2155,0.012,-0.2143,0.0114,-0.2175,0.0115,-0.2295,0.0025,-0.2376,0.0025,-0.3378,0.006,-0.323,0.0044,HD196761         ,310.04898,-23.77387,-0.2672,0.0057,-0.2295,0.0025,-0.2116,0.0121,0.0179,0.0146,0.037699999999999984,0.0082
95,hd1237  ,thin,1,3.37,5507,4.56,1.25,0.2249,0.0168,0.1382,0.0067,0.1048,0.0228,0.0922,0.0203,0.1017,0.0224,0.09,0.02,0.1741,0.0241,0.1464,0.0228,0.0949,0.0195,0.0903,0.0197,HD1237           ,4.05283,-79.85118,0.2249,0.0168,0.1741,0.0241,0.1048,0.0228,-0.0693,0.0469,-0.050799999999999984,0.0409
96,hd4208  ,thin,1,0.81,5688,4.53,1.02,-0.2716,0.005,-0.2806,0.0049,-0.225,0.0043,-0.2249,0.0041,-0.2255,0.0048,-0.2255,0.0045,-0.1702,0.0097,-0.1806,0.0097,-0.2288,0.0129,-0.2307,0.0127,HD4208           ,11.11104,-26.51568,-0.2716,0.005,-0.1702,0.0097,-0.225,0.0043,-0.054800000000000015,0.014,0.10140000000000002,0.014700000000000001
97,hd4307  ,thin,0,0.0,5828,4.02,1.23,-0.2132,0.006,-0.2169,0.0057,-0.2692,0.0029,-0.2431,0.0012,-0.2625,0.0023,-0.239,0.001,-0.1601,0.0153,-0.1494,0.016,-0.0777,0.0141,-0.0827,0.0147,HD4307           ,11.36953,-12.88081,-0.2132,0.006,-0.1601,0.0153,-0.2692,0.0029,-0.1091,0.0182,0.05310000000000001,0.0213
98,hd14374  ,thin,0,0.0,5466,4.58,0.84,-0.0238,0.007,-0.027,0.0062,-0.0594,0.0184,-0.0684,0.0174,-0.0631,0.0177,-0.071,0.017,0.0071,0.0297,-0.0051,0.0289,-0.092,0.0385,-0.0783,0.0358,HD14374          ,34.81682,-0.77984,-0.0238,0.007,0.0071,0.0297,-0.0594,0.0184,-0.0665,0.048100000000000004,0.030900000000000004,0.0367
99,hd16141  ,thin,1,0.26,5722,4.1,1.13,0.1623,0.0039,0.1582,0.0036,0.0762,0.0107,0.0868,0.0103,0.0807,0.0117,0.09,0.011,0.1161,0.0146,0.1267,0.0135,0.1866,0.0194,0.1863,0.0182,HD16141          ,38.83304,-3.5606,0.1623,0.0039,0.1161,0.0146,0.0762,0.0107,-0.03989999999999999,0.0253,-0.046200000000000005,0.0185
100,hd20782  ,thin,1,1.4878,5784,4.35,1.02,-0.0613,0.0035,-0.0558,0.0034,-0.0875,0.0017,-0.0798,0.001,-0.0863,0.0016,-0.079,0.001,-0.0562,0.0155,-0.0531,0.0156,-0.0432,0.0177,-0.042,0.0172,HD20782          ,50.01491,-28.85407,-0.0613,0.0035,-0.0562,0.0155,-0.0875,0.0017,-0.031299999999999994,0.0172,0.0051,0.019
101,hd23079  ,thin,1,2.61,5988,4.38,1.15,-0.131,0.0046,-0.1376,0.0046,-0.1902,0.005,-0.1817,0.0055,-0.1865,0.0052,-0.1795,0.0055,-0.156,0.0156,-0.1637,0.0134,-0.1063,0.0223,-0.124,0.0193,HD23079          ,54.92957,-52.91584,-0.131,0.0046,-0.156,0.0156,-0.1902,0.005,-0.03420000000000001,0.0206,-0.024999999999999994,0.0202
102,hd28185  ,thin,1,5.9,5640,4.35,0.94,0.2036,0.0072,0.2116,0.0073,0.2183,0.016,0.2185,0.0157,0.219,0.0164,0.219,0.016,0.1366,0.0225,0.1412,0.0224,0.1265,0.023,0.138,0.0232,HD28185          ,66.60968,-10.55082,0.2036,0.0072,0.1366,0.0225,0.2183,0.016,0.0817,0.0385,-0.067,0.029699999999999997
103,hd30177  ,thin,2,8.622,5550,4.39,0.92,0.4934,0.008,0.5033,0.0087,0.392,0.0066,0.3919,0.0067,0.3916,0.0069,0.392,0.007,0.3502,0.0201,0.3443,0.0196,0.3083,0.0247,0.328,0.0225,HD30177          ,70.47656,-58.02076,0.4934,0.008,0.3502,0.0201,0.392,0.0066,0.041800000000000004,0.0267,-0.1432,0.0281
104,hd30306  ,thin,0,0.0,5544,4.38,0.9,0.2151,0.0075,0.2167,0.0074,0.1618,0.0329,0.1616,0.0319,0.1609,0.0329,0.161,0.032,0.1831,0.0174,0.1841,0.0169,0.1434,0.0219,0.159,0.0201,HD30306          ,69.99164,-71.50561,0.2151,0.0075,0.1831,0.0174,0.1618,0.0329,-0.021300000000000013,0.0503,-0.032,0.0249
105,hd52265  ,thin,1,1.21,6129,4.32,1.27,0.2713,0.0089,0.2578,0.0089,0.1431,0.0042,0.1356,0.0034,0.1502,0.0058,0.1405,0.0045,0.081,0.0208,0.0643,0.0216,0.22,0.0178,0.1853,0.0179,HD52265          ,105.07515,-5.36716,0.2713,0.0089,0.081,0.0208,0.1431,0.0042,0.0621,0.024999999999999998,-0.19029999999999997,0.029699999999999997
106,hd65216  ,thin,2,2.03,5658,4.52,0.98,-0.1553,0.0062,-0.1623,0.0057,-0.1955,0.0033,-0.1964,0.0031,-0.1967,0.0038,-0.1975,0.0035,-0.0655,0.0252,-0.0758,0.0247,-0.1195,0.0274,-0.119,0.0265,HD65216          ,118.42216,-63.64732,-0.1553,0.0062,-0.0655,0.0252,-0.1955,0.0033,-0.13,0.0285,0.08979999999999999,0.0314
107,hd69830  ,thin,3,0.057,5460,4.55,0.63,-0.0449,0.0077,-0.0261,0.0064,-0.0348,0.0042,-0.042,0.0039,-0.0383,0.0036,-0.0445,0.0035,-0.0413,0.0155,-0.0485,0.0145,-0.1409,0.0215,-0.1217,0.0192,HD69830          ,124.59978,-12.63217,-0.0449,0.0077,-0.0413,0.0155,-0.0348,0.0042,0.006500000000000006,0.0197,0.003599999999999999,0.0232
108,hd73256  ,thin,0,0.0,5453,4.46,1.13,0.3763,0.0139,0.3095,0.0097,0.2984,0.0324,0.2897,0.0301,0.296,0.0323,0.288,0.03,0.3102,0.0141,0.2912,0.0134,0.2369,0.0122,0.245,0.0122,HD73256          ,129.0959,-30.03762,0.3763,0.0139,0.3102,0.0141,0.2984,0.0324,-0.011799999999999977,0.0465,-0.06610000000000005,0.027999999999999997
109,hd75289  ,thin,1,0.49,6121,4.34,1.32,0.3133,0.0066,0.2824,0.0059,0.1167,0.0148,0.1065,0.013,0.1232,0.0163,0.111,0.014,0.0694,0.0035,0.0481,0.0024,0.1984,0.0068,0.1593,0.0055,HD75289          ,131.91829,-41.73679,0.3133,0.0066,0.0694,0.0035,0.1167,0.0148,0.047299999999999995,0.0183,-0.2439,0.0101
110,hd78538  ,thin,0,0.0,5790,4.5,1.06,-0.0211,0.0078,-0.0372,0.0068,-0.1656,0.0054,-0.1654,0.0053,-0.166,0.0051,-0.166,0.005,-0.0576,0.0337,-0.0674,0.033,-0.0717,0.0373,-0.0813,0.0355,HD78538          ,137.19569,-5.11609,-0.0211,0.0078,-0.0576,0.0337,-0.1656,0.0054,-0.108,0.0391,-0.0365,0.0415
111,hd82943  ,thin,2,1.959,5958,4.38,1.21,0.2844,0.0052,0.261,0.0042,0.1986,0.0082,0.1908,0.0068,0.2028,0.0092,0.1935,0.0075,0.1743,0.0083,0.1567,0.0087,0.2536,0.0067,0.2267,0.0069,HD82943          ,143.7114,-12.12955,0.2844,0.0052,0.1743,0.0083,0.1986,0.0082,0.02429999999999999,0.0165,-0.11009999999999998,0.0135
112,hd89454  ,thin,0,0.0,5699,4.53,0.94,0.1902,0.0067,0.1865,0.0069,0.0662,0.0157,0.0623,0.0155,0.0651,0.0156,0.0615,0.0155,0.1466,0.0305,0.141,0.03,0.1215,0.0345,0.1247,0.0331,HD89454          ,154.81784,-11.37851,0.1902,0.0067,0.1466,0.0305,0.0662,0.0157,-0.08040000000000001,0.0462,-0.0436,0.0372
113,hd92788  ,thin,2,3.76,5691,4.35,1.05,0.3085,0.0061,0.3004,0.0059,0.2576,0.0198,0.2555,0.0191,0.2592,0.0204,0.2565,0.0195,0.24,0.0098,0.2358,0.0098,0.2482,0.0111,0.2507,0.0103,HD92788          ,160.7022,-2.18376,0.3085,0.0061,0.24,0.0098,0.2576,0.0198,0.017600000000000005,0.0296,-0.0685,0.0159
114,hd94151  ,thin,0,0.0,5621,4.5,0.89,0.0887,0.0048,0.0864,0.0044,0.0672,0.0042,0.0618,0.0036,0.0654,0.0039,0.0605,0.0035,0.0675,0.0508,0.0627,0.0507,0.0208,0.0541,0.0287,0.053,HD94151          ,162.91346,-22.07183,0.0887,0.0048,0.0675,0.0508,0.0672,0.0042,-0.0003000000000000086,0.055,-0.021199999999999997,0.0556
115,hd96423  ,thin,0,0.0,5689,4.39,0.96,0.1401,0.0048,0.1446,0.0049,0.0813,0.0135,0.0823,0.0133,0.0814,0.0137,0.0825,0.0135,0.1092,0.0197,0.1118,0.0194,0.1049,0.0212,0.111,0.0207,HD96423          ,166.58227,-44.37332,0.1401,0.0048,0.1092,0.0197,0.0813,0.0135,-0.027900000000000008,0.0332,-0.030899999999999997,0.024499999999999997
116,hd102365  ,thin,1,0.05,5690,4.46,0.91,-0.3112,0.0055,-0.3088,0.0055,-0.1967,0.0155,-0.1939,0.0147,-0.1964,0.0158,-0.194,0.015,-0.1639,0.0073,-0.1687,0.0068,-0.2124,0.0051,-0.2103,0.0048,HD102365         ,176.62947,-40.50036,-0.3112,0.0055,-0.1639,0.0073,-0.1967,0.0155,-0.032800000000000024,0.0228,0.1473,0.012799999999999999
117,hd108147  ,thin,1,0.261,6218,4.39,1.35,0.2031,0.0124,0.1691,0.0116,0.0569,0.0132,0.0479,0.0112,0.0627,0.0145,0.052,0.012,0.0442,0.0177,0.0148,0.014,0.1868,0.0211,0.137,0.0195,HD108147         ,186.44278,-64.02209,0.2031,0.0124,0.0442,0.0177,0.0569,0.0132,0.012699999999999996,0.0309,-0.15889999999999999,0.030100000000000002
118,hd110668  ,thin,0,0.0,5808,4.39,1.08,0.1816,0.0053,0.1726,0.0054,0.1851,0.0201,0.1821,0.0191,0.1871,0.0208,0.1835,0.0195,0.1745,0.0172,0.1691,0.0169,0.2109,0.0199,0.201,0.0191,HD110668         ,190.99318,-35.12311,0.1816,0.0053,0.1745,0.0172,0.1851,0.0201,0.010599999999999998,0.0373,-0.007100000000000023,0.0225
119,hd114613  ,thin,1,0.357,5700,3.9,1.33,0.1815,0.0088,0.1291,0.0056,0.1015,0.0261,0.1056,0.0238,0.1097,0.0281,0.111,0.025,0.0671,0.0213,0.0666,0.0222,0.1719,0.0195,0.1527,0.0201,HD114613         ,198.01326,-37.80302,0.1815,0.0088,0.0671,0.0213,0.1015,0.0261,0.0344,0.0474,-0.11439999999999999,0.030100000000000002
120,hd114729  ,thin,1,0.825,5790,4.07,1.27,-0.2707,0.0083,-0.2853,0.006,-0.2378,0.0029,-0.2181,0.0034,-0.2318,0.0033,-0.2145,0.0035,-0.1229,0.0077,-0.1198,0.0088,-0.0573,0.0067,-0.0703,0.0073,HD114729         ,198.1844,-31.87335,-0.2707,0.0083,-0.1229,0.0077,-0.2378,0.0029,-0.11490000000000002,0.0106,0.1478,0.016
121,hd114853  ,thin,0,0.0,5744,4.46,0.97,-0.2257,0.0057,-0.2259,0.0057,-0.2604,0.0096,-0.255,0.0086,-0.2599,0.01,-0.255,0.009,-0.1836,0.0104,-0.1875,0.0098,-0.22,0.0108,-0.2197,0.0103,HD114853         ,198.46761,-45.1858,-0.2257,0.0057,-0.1836,0.0104,-0.2604,0.0096,-0.07680000000000001,0.019999999999999997,0.0421,0.0161
122,hd115617  ,thin,3,0.072,5534,4.41,0.91,-0.0137,0.005,-0.0148,0.0047,-0.0306,0.0006,-0.0326,0.0008,-0.0326,0.0009,-0.034,0.001,-0.0183,0.0441,-0.0198,0.0446,-0.078,0.0457,-0.0643,0.0454,HD115617         ,199.60131,-18.3112,-0.0137,0.005,-0.0183,0.0441,-0.0306,0.0006,-0.012299999999999998,0.044700000000000004,-0.0046,0.0491
123,hd117207  ,thin,1,1.926,5632,4.34,0.97,0.2541,0.0079,0.2582,0.0076,0.2015,0.0149,0.2025,0.0147,0.2022,0.0153,0.203,0.015,0.1824,0.0197,0.1854,0.0191,0.1733,0.0211,0.1847,0.0203,HD117207         ,202.33797,-35.571,0.2541,0.0079,0.1824,0.0197,0.2015,0.0149,0.019100000000000006,0.0346,-0.07169999999999999,0.0276
124,hd117618  ,thin,1,0.174,5962,4.32,1.18,0.0208,0.0051,0.0102,0.005,0.0047,0.0019,0.011,0.0019,0.0081,0.0013,0.0135,0.0015,-0.0168,0.0209,-0.0211,0.0191,0.0652,0.0296,0.0457,0.0265,HD117618         ,203.10648,-47.27136,0.0208,0.0051,-0.0168,0.0209,0.0047,0.0019,0.0215,0.022799999999999997,-0.037599999999999995,0.026
125,hd125184  ,thin,0,0.0,5610,4.07,1.14,0.3538,0.0102,0.3317,0.0098,0.2656,0.0048,0.2645,0.0037,0.2703,0.006,0.2675,0.0045,0.2359,0.0158,0.2332,0.0158,0.2754,0.0174,0.2743,0.0167,HD125184         ,214.50303,-7.54239,0.3538,0.0102,0.2359,0.0158,0.2656,0.0048,0.029700000000000004,0.0206,-0.1179,0.026000000000000002
